1,Roscoe,Yeats,36-5335764,318-49-5751,2,2,,19,42,
2,Melony,Reading,63-5457328,185-86-0308,2,1,,16,32,
3,Cullie,St. Ledger,35-4896533,322-88-7667,3,1,,25,33,496
4,Gerrie,Riep,65-5793964,169-57-6754,2,1,,13,47,
5,Abagail,Carratt,74-8111954,377-35-5770,2,2,,12,41,
6,Rubi,Riatt,22-6593779,314-13-8246,1,1,55603,,,
7,Aggie,Hodgon,95-6591042,472-29-5134,3,2,,22,36,366
8,Sarette,Moorman,91-2336668,861-86-6851,2,2,,15,48,
9,Rex,Maundrell,30-4877926,542-04-5058,2,1,,20,48,
10,Wallis,Letch,08-2153857,295-04-8292,3,2,,20,50,346
11,Edlin,Letcher,26-1002827,661-35-8484,1,2,51225,,,
12,Nananne,MacElharge,22-3150168,220-67-6483,1,1,76434,,,
13,Cass,Cormode,43-5898174,485-77-1892,2,1,,11,33,
14,Griff,Croux,10-1570480,382-10-6147,2,2,,16,37,
15,Britt,Rebanks,75-5277831,821-96-2828,2,1,,17,38,
16,Wilhelmine,MacDonald,50-6775630,369-71-2413,3,2,,21,45,402
17,Dwight,Shipway,95-3776197,585-87-9372,1,1,60120,,,
18,Aksel,Lowson,34-7072913,823-59-2372,1,1,73010,,,
19,Ami,Cruddas,06-3199567,668-68-0135,2,2,,14,33,
20,Alfy,McWhannel,81-5472746,453-28-8513,2,1,,15,42,
21,Ernesta,Schubuser,91-3386379,445-87-0527,3,2,,27,47,124
22,Wilmar,Guiden,22-1797646,622-23-4724,2,1,,11,31,
23,Massimo,Tsarovic,55-0117364,800-79-4847,2,2,,11,39,
24,Yul,Blackmoor,24-8150602,335-78-8280,2,2,,15,38,
25,Kerstin,Piggin,82-9662314,394-97-1338,1,1,53130,,,
26,Emalia,Bradnam,50-5587396,879-60-8103,2,2,,12,37,
27,Sal,Louis,05-8025537,792-74-0776,1,2,56148,,,
28,Rebecca,Dresser,91-0334937,637-28-5180,1,2,72286,,,
29,Dorena,Snowball,50-3986322,693-05-9520,1,1,57756,,,
30,Edee,Presdee,22-8561426,339-53-2625,2,1,,17,50,
31,Kathryn,Moran,31-7534800,816-79-6358,1,2,68395,,,
32,Lammond,Desport,42-5091319,747-72-5427,3,2,,24,36,247
33,Ursuline,Habden,07-7467852,229-24-5586,1,2,67451,,,
34,Essy,Carbry,86-7842221,555-94-7936,2,1,,10,42,
35,Henrie,Digwood,48-9061555,389-05-0441,3,2,,20,31,276
36,Carree,Mein,46-5383119,271-52-7721,2,2,,12,33,
37,Benedikta,Yakov,94-0590961,448-43-7284,3,2,,29,49,223
38,Kiersten,Simao,03-2560282,370-01-1278,3,1,,26,41,486
39,Andrea,Cahen,75-9611217,585-62-1650,2,2,,17,37,
40,Constantia,Grainger,03-1391871,868-73-2950,3,1,,21,38,297
41,Miran,Canton,59-1720509,497-76-9920,3,1,,27,48,214
42,Illa,Pochet,99-4286342,212-12-7854,3,2,,28,32,190
43,Hester,Redgewell,82-0782104,523-19-5801,1,2,54397,,,
44,Torrie,Lovick,11-0359647,661-15-1693,3,2,,27,46,480
45,Rasla,Noone,68-5867430,376-12-1198,3,2,,28,34,458
46,Dre,Liell,13-8041442,658-06-3734,1,1,71370,,,
47,Roderich,D'Elia,09-2135478,695-58-7761,1,2,68326,,,
48,Jeth,Schulz,15-2133034,391-46-9587,2,1,,12,30,
49,Rhodie,Hullock,84-2416241,514-31-1472,1,2,54439,,,
50,Sashenka,Fardy,78-7114858,195-87-1120,3,1,,29,47,127
51,Dukie,Scafe,00-5273857,409-65-1318,2,2,,12,43,
52,Burch,Proudlock,45-3202573,662-80-5683,3,2,,20,39,375
53,Lucila,Gianni,90-0385843,313-27-8881,1,1,79606,,,
54,Jessica,Dounbare,38-2864910,814-94-1190,3,1,,20,36,158
55,Esme,Tynemouth,06-3012928,646-94-9140,1,2,75495,,,
56,Patin,Hibling,76-2961786,347-48-7485,2,1,,18,47,
57,Clementia,O'Cannon,38-6340613,294-12-7243,3,2,,20,49,331
58,Timoteo,Newiss,43-0855345,845-90-5055,2,2,,11,48,
59,Addie,Bassindale,69-9879203,175-84-7008,2,2,,15,48,
60,Carmita,Swait,24-4833962,210-05-4713,2,2,,10,43,
61,Merilee,Bustard,37-9917113,417-04-8083,1,2,52279,,,
62,Valentina,Ughini,44-3308459,636-94-3033,2,1,,19,33,
63,Berry,Rostern,61-5351070,772-20-5618,3,1,,24,35,294
64,Turner,Barbrick,36-2037119,294-01-7859,2,1,,18,36,
65,Guillema,Szymanzyk,02-0833346,491-49-4548,3,2,,28,38,282
66,Keven,Snowman,41-0331717,620-60-9682,3,1,,21,35,277
67,Kylynn,Loxley,26-0922905,123-30-0093,3,2,,23,46,326
68,Donnie,Lemanu,25-6539454,423-01-2762,2,2,,20,45,
69,Harvey,Garnson,14-0303275,841-11-2302,2,1,,15,45,
70,Wendel,Sainter,66-5752680,171-54-2269,2,2,,12,35,
71,Bailie,Garken,67-0919208,417-24-0089,3,2,,29,34,426
72,Laney,Rotter,10-3886964,867-76-9906,3,1,,27,43,342
73,Tiena,Menat,05-3182102,849-88-0983,3,2,,23,38,425
74,Hazel,Kniveton,56-0319182,624-16-6867,3,2,,21,34,253
75,Coral,Lutwyche,15-7141622,536-04-0331,2,2,,17,46,
76,Cheslie,Karle,58-9385063,432-58-8662,3,1,,23,45,128
77,Donovan,Dursley,75-3386547,469-29-1226,3,1,,23,49,483
78,Brigitte,Croci,01-2815261,801-89-3247,3,2,,27,39,371
79,Diena,Sirl,72-0738306,638-11-8162,3,1,,26,30,443
80,Melonie,Goundrill,95-0699826,363-88-7424,2,1,,13,42,
81,Viki,Konmann,43-8440776,275-32-7984,1,1,53932,,,
82,Chelsy,Loggie,55-8011218,743-13-5635,3,1,,23,46,384
83,Aloysius,Freund,06-1084341,611-11-3162,3,2,,28,41,224
84,Kippie,Lawie,74-3215317,264-38-1990,2,1,,17,45,
85,Constanta,Belk,06-1632121,125-44-2517,3,2,,24,37,379
86,Dewey,Sieve,83-6434408,429-94-5225,2,2,,15,33,
87,Vale,Braemer,55-2048209,565-53-3418,1,1,72579,,,
88,Ailee,Coady,69-4697840,802-46-0782,1,1,68857,,,
89,Addie,O'Dennehy,52-8041954,195-71-1778,2,2,,20,48,
90,Raoul,Willmetts,97-8173135,740-76-3592,2,1,,19,34,
91,Mattias,Doohan,37-3422767,568-13-8595,1,2,58431,,,
92,Andie,Simonich,97-2234581,670-22-1986,2,2,,17,40,
93,Rey,Jeaneau,09-7238643,392-86-4104,3,2,,22,49,246
94,Nanni,Daltry,55-1773830,330-32-6313,1,1,65444,,,
95,Timothee,Danelet,28-0591081,537-28-2487,2,2,,18,35,
96,Gussi,Flaonier,31-7822997,710-59-5297,2,2,,11,33,
97,Carolan,Pass,93-5632036,845-86-1317,3,1,,20,32,260
98,Harley,Gensavage,84-8851167,188-55-0445,1,2,51008,,,
99,Martino,Melendez,53-7432822,403-03-4723,2,2,,19,46,
100,Hildy,Winch,79-9901751,734-78-9173,1,1,69963,,,
101,Barbette,Dursley,27-0046997,282-08-6027,1,2,72951,,,
102,Alica,Loughton,46-0217849,803-60-0134,2,1,,15,37,
103,Jerald,Verrico,42-6575059,723-24-4206,3,1,,25,46,388
104,Eba,Jarmaine,51-1609774,400-66-6880,3,1,,29,42,483
105,Cassie,Sabates,63-2718670,572-67-8537,1,1,71539,,,
106,Cozmo,Pettiford,42-6730551,634-16-5859,3,2,,21,32,387
107,Peyter,Eddins,41-6222466,567-48-5462,3,2,,27,49,106
108,Drona,Cammoile,76-3182503,410-28-0767,3,2,,29,40,149
109,Mireille,Mottini,00-6844622,257-67-9684,3,2,,27,40,225
110,Isa,Glanert,87-4847611,310-13-7240,1,1,76692,,,
111,Elijah,Banthorpe,58-7932694,112-37-5072,1,1,68460,,,
112,Ailyn,Kneafsey,48-4959043,588-32-4663,3,1,,20,44,283
113,Roselia,Anscott,77-6090778,404-72-2940,3,2,,23,33,136
114,Lauralee,Gisbourn,73-6493057,824-62-0877,3,1,,28,38,492
115,Kip,Eykel,07-1032290,896-88-3739,1,1,79612,,,
116,Maurits,Moreno,48-0500543,384-64-2001,2,2,,12,46,
117,Fawne,Rampling,13-3519520,136-26-8868,1,2,61166,,,
118,Joanne,Buckmaster,80-4634237,364-34-9916,2,1,,16,45,
119,Rene,Kaesmakers,08-3584369,679-56-7764,1,1,72831,,,
120,Berthe,Cutbirth,68-1897398,801-44-2810,3,2,,25,32,478
121,Drucill,Odeson,93-7008803,121-93-0220,2,1,,17,45,
